person_sex,black,parent_edu_college,birth_underweight,birth_age,edu_college,mother_marital_at_birth,prt_inc,hh_inc_at_30,hh_inc_at_31,hh_inc_at_32,hh_inc_at_33,hh_inc_at_34,hh_inc_at_35
1,0,0,0,28,0,1,30798.5981653371,21403.5087719298,20648.9501312336,18738.0497131931,NaN,17447.8527607362,NaN
1,0,0,0,31,0,1,30798.5981653371,NaN,26503.0674846626,NaN,25864.6922183508,NaN,32181.7676486937
1,0,0,0,20,0,1,27481.1989921442,12168.8968569876,NaN,25222.878526617,NaN,28409.2789881269,NaN
1,0,0,0,22,0,1,28376.9865352685,29808.8564405474,NaN,13937.6464541756,NaN,21120.5731278724,NaN
1,0,0,0,22,0,1,27481.1989921442,20178.3028212936,NaN,20993.579971602,NaN,24077.4533657745,NaN
1,0,0,0,25,0,1,28376.9865352685,NaN,NaN,NaN,NaN,NaN,NaN
0,0,0,0,24,1,1,20138.5785983024,2534.46877534469,NaN,NaN,NaN,NaN,NaN
0,0,0,0,28,0,1,27481.1989921442,NaN,NaN,NaN,NaN,NaN,NaN
1,0,0,0,34,1,1,28376.9865352685,NaN,NaN,NaN,NaN,NaN,NaN
1,0,0,0,45.5,0,1,23735.638085577,NaN,NaN,NaN,NaN,NaN,NaN
0,0,0,0,35.5,0,1,20573.1226817518,NaN,NaN,NaN,NaN,NaN,NaN
1,0,0,0,-1.5,0,1,29365.6421400717,NaN,NaN,NaN,NaN,28143.7125748503,34080.4597701149
0,0,0,0,1.5,0,1,29365.6421400717,NaN,28143.7125748503,34080.4597701149,31607.6294277929,31567.0103092784,30493.8271604938
0,0,0,0,23.5,0,1,29365.6421400717,25163.1445477599,13470.9677419355,15091.0482019893,16375.9177679883,14343.5495367071,13926.6435986159
1,0,0,0,27.5,0,1,29365.6421400717,NaN,NaN,NaN,NaN,NaN,NaN
0,0,0,0,29.5,0,1,29365.6421400717,9865.04723346829,10564.3044619423,11216.6985340982,NaN,NaN,NaN
0,0,0,0,23,0,1,19435.6259829391,37953.795379538,42138.036809816,24793.3884297521,24378.640776699,21860.2860286029,20414.5077720207
1,0,0,0,26,1,1,19435.6259829391,39805.8252427184,40704.0704070407,46787.5647668394,56224.8995983936,58229.0664100096,69702.6022304833
1,0,0,0,24,1,1,19435.6259829391,62346.6257668712,51997.2451790634,40351.9417475728,45448.8448844884,49264.2487046632,54417.6706827309
1,0,0,0,29,1,1,24627.1198565401,NaN,43159.7222222222,NaN,38097.9363966131,NaN,43124.7019114356
1,0,0,1,33,0,1,24627.1198565401,NaN,NaN,NaN,NaN,NaN,NaN
1,0,1,0,34.5,0,1,28672.0449852713,NaN,NaN,NaN,NaN,NaN,NaN
1,0,0,0,20,0,1,52787.1176111911,NaN,NaN,NaN,NaN,NaN,NaN
1,0,0,0,20,0,1,52787.1176111911,NaN,NaN,NaN,NaN,NaN,NaN
1,0,1,0,30,1,1,27841.4387576117,6838.59223300971,2063.80638063806,4352.33160621762,NaN,NaN,NaN
1,0,1,0,32,1,1,27841.4387576117,38683.9378238342,40580.3212851406,45888.354186718,49902.4163568773,48978.102189781,58626.7605633803
0,0,1,0,36,1,1,27841.4387576117,40145.9854014599,42737.676056338,44801.3524936602,32129.0322580645,31828.6151491966,30837.0044052863
0,0,1,0,26,1,1,62401.9722294518,50472.1253303484,NaN,52889.1660857761,NaN,55295.870101135,NaN
1,0,1,0,29,1,1,62401.9722294518,NaN,49435.0897671542,NaN,44479.9270072993,NaN,42498.7604528201
0,0,1,0,31.5,1,1,51333.4120946957,63717.8573277527,NaN,31123.0975499496,NaN,NaN,NaN
1,0,1,0,33.5,1,1,51333.4120946957,42888.4398267462,NaN,NaN,NaN,NaN,NaN
1,0,1,0,36.5,0,1,51333.4120946957,NaN,NaN,NaN,NaN,NaN,NaN
0,0,1,0,39.5,1,1,30288.2588181341,NaN,NaN,NaN,NaN,NaN,NaN
0,0,1,0,41.5,0,1,30288.2588181341,NaN,NaN,NaN,NaN,NaN,NaN
0,0,0,0,25,0,2,14655.7064134432,15151.5151515152,NaN,NaN,NaN,NaN,NaN
1,0,0,0,29,0,2,14655.7064134432,NaN,NaN,NaN,NaN,NaN,NaN
1,0,0,0,29,0,1,25321.65117239,35054.1746335245,NaN,33742.3312883436,NaN,32171.8931475029,NaN
1,0,0,0,25.5,0,1,56271.9059138164,NaN,NaN,NaN,NaN,NaN,NaN
1,0,0,0,31.5,0,1,56271.9059138164,NaN,NaN,NaN,NaN,NaN,NaN
0,0,0,0,23.5,0,3,28676.3986131622,NaN,NaN,NaN,NaN,NaN,NaN
0,0,0,0,30.5,0,3,28676.3986131622,10905.9158945118,10404.1522491349,10915.6545209177,11844.4881889764,15261.3129381772,NaN
0,0,0,0,36.5,0,3,28676.3986131622,30797.5460122699,NaN,39252.6132404181,NaN,41689.8276820456,NaN
1,0,1,0,23,0,1,48296.7335806155,NaN,NaN,NaN,NaN,NaN,NaN
1,0,1,0,26,0,1,48296.7335806155,182980.518765822,NaN,130708.990653066,NaN,NaN,NaN
0,0,1,0,32.5,1,4,47996.7936259475,4666.53055952535,NaN,9323.51547348341,NaN,1004.59408603189,NaN
0,0,1,0,29,1,4,16740.7820190282,10362.6943005181,5522.08835341365,13474.4947064485,1858.73605947955,10948.9051094891,35299.2957746479
1,0,0,0,22.5,0,1,51566.3384715746,30109.4890510949,35211.2676056338,34234.9957734573,35483.8709677419,38016.0673297628,33494.8604992658
0,0,0,0,24.5,0,1,51566.3384715746,40574.809805579,44688.7096774194,41239.4797245601,42217.3274596182,43928.7241625089,33770.9342560554
0,0,0,0,30.5,0,1,51566.3384715746,20925.7759784076,19450.1312335958,17845.7616316125,NaN,23331.2883435583,NaN
1,0,0,0,31.5,0,1,51566.3384715746,6551.1811023622,10197.5780752071,NaN,6134.96932515337,NaN,18597.5609756098
1,0,0,0,19.5,0,1,33722.7064676633,29365.0793650794,NaN,35763.5518316048,NaN,36458.5244157464,NaN
0,0,0,0,23.5,0,1,33722.7064676633,35403.7494955424,NaN,35497.4433129786,NaN,43930.7921059746,NaN
1,0,0,0,27.5,1,1,33722.7064676633,101420.992160043,NaN,220410.238034724,NaN,NaN,NaN
1,0,1,0,47,0,1,55606.8753415594,NaN,NaN,NaN,NaN,NaN,NaN
1,0,0,0,29,1,1,66503.9543555484,NaN,37061.9375330863,NaN,44692.4603174603,NaN,43659.4009372837
0,0,0,0,32,1,1,66503.9543555484,NaN,NaN,NaN,NaN,NaN,NaN
